timestamp,robot_name,par,timeframe,direcao,score_tecnico,contributing_indicators,reason
2025-04-13 04:37:28,frouxo,DOGEUSDT,1d,SHORT,0.9249999999999998,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:37:28,frouxo,XRPUSDT,1d,SHORT,0.9083333333333332,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:38:23,frouxo,XRPUSDT,1d,SHORT,0.725,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:38:23,frouxo,TRXUSDT,1d,SHORT,0.875,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:38:23,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:39:18,frouxo,XRPUSDT,1d,SHORT,0.725,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:39:18,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:39:18,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:40:23,frouxo,XRPUSDT,1d,SHORT,0.7749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:40:23,frouxo,TRXUSDT,1d,SHORT,0.925,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:40:23,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:41:17,frouxo,XRPUSDT,1d,SHORT,0.7749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:41:17,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:41:17,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:42:27,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:42:27,frouxo,XRPUSDT,1d,SHORT,0.7749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:42:27,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:43:24,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:43:24,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:43:24,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:44:18,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
