timestamp,open,high,low,close,volume
2025-03-16 07:37:00,2.38380000,2.38590000,2.38370000,2.3858,238691.00000000
2025-03-16 07:38:00,2.38580000,2.38620000,2.38370000,2.3844,46186.00000000
2025-03-16 07:39:00,2.38450000,2.38500000,2.38360000,2.3837,15134.00000000
2025-03-16 07:40:00,2.38370000,2.38480000,2.38290000,2.3845,41473.00000000
2025-03-16 07:41:00,2.38450000,2.38660000,2.38440000,2.3863,216456.00000000
2025-03-16 07:42:00,2.38630000,2.38630000,2.38480000,2.3859,21748.00000000
2025-03-16 07:43:00,2.38590000,2.38640000,2.38530000,2.3862,18790.00000000
2025-03-16 07:44:00,2.38630000,2.38630000,2.38490000,2.3858,21178.00000000
2025-03-16 07:45:00,2.38580000,2.38600000,2.38350000,2.3839,38474.00000000
2025-03-16 07:46:00,2.38400000,2.38490000,2.38330000,2.3848,29619.00000000
2025-03-16 07:47:00,2.38480000,2.38480000,2.38280000,2.3833,35181.00000000
2025-03-16 07:48:00,2.38330000,2.38360000,2.38260000,2.3827,41796.00000000
2025-03-16 07:49:00,2.38270000,2.38290000,2.38170000,2.3821,22246.00000000
2025-03-16 07:50:00,2.38210000,2.38210000,2.38120000,2.3814,30422.00000000
2025-03-16 07:51:00,2.38150000,2.38190000,2.38100000,2.3819,82605.00000000
2025-03-16 07:52:00,2.38200000,2.38290000,2.38090000,2.3829,114923.00000000
2025-03-16 07:53:00,2.38290000,2.38380000,2.38250000,2.383,114500.00000000
2025-03-16 07:54:00,2.38300000,2.38300000,2.38150000,2.3816,15390.00000000
2025-03-16 07:55:00,2.38160000,2.38160000,2.38020000,2.3811,11313.00000000
2025-03-16 07:56:00,2.38110000,2.38170000,2.38040000,2.3806,9754.00000000
2025-03-16 07:57:00,2.38070000,2.38090000,2.37960000,2.3797,20364.00000000
2025-03-16 07:58:00,2.37970000,2.37970000,2.37810000,2.3784,50600.00000000
2025-03-16 07:59:00,2.37850000,2.38090000,2.37850000,2.3809,46960.00000000
2025-03-16 08:00:00,2.38080000,2.38100000,2.38040000,2.3809,14179.00000000
2025-03-16 08:01:00,2.38080000,2.38340000,2.37980000,2.3834,28009.00000000
2025-03-16 08:02:00,2.38350000,2.38510000,2.38290000,2.383,79632.00000000
2025-03-16 08:03:00,2.38300000,2.38340000,2.38250000,2.3834,26555.00000000
