signal_id,par,direcao,preco_entrada,preco_saida,quantity,lucro_percentual,pnl_realizado,resultado,timestamp,timestamp_saida,estado,strategy_name,contributing_indicators,localizadores,motivos,timeframe,aceito,parametros,quality_score
0485b26b-3cbe-4e2b-a7f2-b821b5d63cd8,TRXUSDT,LONG,0.2519,0.2587,190.21442720037768,2.6994839221913347,2.6994839221913347,TP,2025-04-13 13:24:33,2025-04-14 00:14:44,fechado,Robô 00,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
e996fd06-fa8a-4b96-b897-9f22916cae3b,DOGEUSDT,LONG,0.16324,0.167,107.82065351263992,2.3033570203381606,2.3033570203381606,TP,2025-04-13 13:25:01,2025-04-14 01:47:24,fechado,ROBOT 1 LEO,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
cf689146-0a6e-4075-a124-c5d34da0d0c0,DOGEUSDT,LONG,0.16358,0.16188,131.33462881580033,-1.0392468516933655,-1.0392468516933655,SL,2025-04-13 13:25:47,2025-04-13 18:02:18,fechado,Robô 00,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
536c4607-48ff-4f1e-beae-0621b6f97c30,TRXUSDT,LONG,0.2519,0.2587,137.28232223956718,2.6994839221913347,2.6994839221913347,TP,2025-04-13 13:26:17,2025-04-14 00:14:44,fechado,ROBOT 1 LEO,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
3efd05d6-88e8-4673-959c-91c864a688ad,DOGEUSDT,LONG,0.16338,0.167,94.28064970255215,2.2156934753335857,2.2156934753335857,TP,2025-04-13 13:26:46,2025-04-14 01:47:25,fechado,ROBOT PADRAO 1,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
80445560-c11f-4b0e-bd7c-e8190ab2cedb,TRXUSDT,LONG,0.252,0.2587,139.45062853260384,2.6587301587301524,2.6587301587301524,TP,2025-04-13 13:27:27,2025-04-14 00:14:44,fechado,Robô 00,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
a1c9a220-aa58-418e-a2ec-357c328e39ff,TRXUSDT,LONG,0.2521,0.2587,96.39254400717806,2.618008726695754,2.618008726695754,TP,2025-04-13 13:27:56,2025-04-14 00:14:44,fechado,ROBOT 1 LEO,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
2cf1f872-b71d-4e35-b93e-cc6f0ba33cc9,XRPUSDT,LONG,2.1674,2.1019,121.35298673218584,-3.022054074005726,-3.022054074005726,SL,2025-04-13 13:28:27,2025-04-13 18:02:18,fechado,ROBOT PADRAO 1,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
fab692c1-f45e-453f-a0d1-12e55adc61d1,DOGEUSDT,LONG,0.16327,0.16701,95.92266382239907,2.2906841428308895,2.2906841428308895,TP,2025-04-13 13:28:56,2025-04-14 01:47:25,fechado,hard,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.76}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
722aa9a2-4aff-4f6b-a4dc-e3c7e285f8f1,DOGEUSDT,LONG,0.16321,0.16703,82.6740504215199,2.340542858893462,2.340542858893462,TP,2025-04-13 13:29:29,2025-04-14 01:47:25,fechado,Robô 00,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
